"ID"	"CellType"	"Sample"
"c1"	"Epithelial_cell"	"sample1"
"c2"	"Plasma_cell"	"sample1"
"c3"	"B_cell"	"sample1"
"c4"	"Plasma_cell"	"sample1"
"c5"	"NK_cell"	"sample1"
"c6"	"Epithelial_cell"	"sample1"
"c7"	"CD8+_T_cell"	"sample1"
"c8"	"CD8+_T_cell"	"sample1"
"c9"	"Plasma_cell"	"sample1"
"c10"	"Plasma_cell"	"sample1"
"c11"	"Macrophage"	"sample1"
"c12"	"CD8+_T_cell"	"sample1"
"c13"	"Epithelial_cell"	"sample1"
"c14"	"CD8+_T_cell"	"sample1"
"c15"	"Plasma_cell"	"sample1"
"c16"	"CD8+_T_cell"	"sample1"
"c17"	"CD8+_T_cell"	"sample1"
"c18"	"Plasma_cell"	"sample1"
"c19"	"Epithelial_cell"	"sample1"
"c20"	"B_cell"	"sample1"
"c21"	"Fibroblast"	"sample1"
"c22"	"Fibroblast"	"sample1"
"c23"	"Epithelial_cell"	"sample1"
"c24"	"Epithelial_cell"	"sample1"
"c25"	"Plasma_cell"	"sample1"
"c26"	"Epithelial_cell"	"sample1"
"c27"	"Plasma_cell"	"sample1"
"c28"	"Fibroblast"	"sample1"
"c29"	"Plasma_cell"	"sample1"
"c30"	"Plasma_cell"	"sample1"
"c31"	"Epithelial_cell"	"sample1"
"c32"	"Fibroblast"	"sample1"
"c33"	"Plasma_cell"	"sample1"
"c34"	"Plasma_cell"	"sample1"
"c35"	"Plasma_cell"	"sample1"
"c36"	"Plasma_cell"	"sample1"
"c37"	"NK_cell"	"sample1"
"c38"	"Epithelial_cell"	"sample1"
"c39"	"Epithelial_cell"	"sample1"
"c40"	"Endothelial_cell"	"sample1"
"c41"	"B_cell"	"sample1"
"c42"	"Fibroblast"	"sample1"
"c43"	"Plasma_cell"	"sample1"
"c44"	"Epithelial_cell"	"sample1"
"c45"	"Epithelial_cell"	"sample1"
"c46"	"Mast_cell"	"sample1"
"c47"	"Macrophage"	"sample1"
"c48"	"Epithelial_cell"	"sample1"
"c49"	"Epithelial_cell"	"sample1"
"c50"	"NK_cell"	"sample1"
"c51"	"CD8+_T_cell"	"sample1"
"c52"	"B_cell"	"sample1"
"c53"	"Fibroblast"	"sample1"
"c54"	"Fibroblast"	"sample1"
"c55"	"Plasma_cell"	"sample1"
"c56"	"Mast_cell"	"sample1"
"c57"	"Epithelial_cell"	"sample1"
