	B_cell	CD4+_T_cell	CD8+_T_cell	Endothelial_cell	Epithelial_cell	Fibroblast	Macrophage	Mast_cell	Myeloid_cell	NK_cell	Plasma_cell
AL627309.1	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0.00666636742654387	0.00858995744393729	0.00834644974047534	0.00462869569656057	0.00886953721577145	0.00558183426652841	0.00848626993918978	0.00776965249948308	0.0121379296142553	0.00942452554378581	0.0044101577053642
FAM41C	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0.000155031800617299	0.000191954356289101	0.0001959260502459	0.00462869569656057	0.00255141715551669	0.0861942809478635	0.000796459334195604	0.000235444015135851	0.000713995859662078	0.000355642473350408	0.00451604526520807
NOC2L	0.0866196486455393	0.0711644266803705	0.0691500625438974	0.0820023687329962	0.101163601603965	0.076957799269994	0.0426161353747776	0.0651302466155467	0.0570445117873929	0.0876030321129068	0.0315519887404305
KLHL17	0.00232547700925949	0.00393506430392658	0.0045062991556557	0.00848594211036104	0.0107292788900461	0.00716474249136482	0.00500631581494379	0.00400254825730947	0.00514077018956696	0.00355642473350408	0.00455989036487028
PLEKHN1	0.000620127202469197	0.00527874479795029	0.00407526184511472	0.0032143720115004	0.0171938442192115	0.00733136440976865	0.00113779904885086	0.00258988416649436	0.00542636853343179	0.00515681586358092	0.008593639533794
HES4	0.0422130286356434	0.0678940007441994	0.0664868419238264	0.17485154080685	0.0724299974503568	0.216698387808848	0.131096893507044	0.132877461285555	0.232801712361757	0.15541461881836	0.00636921498923054
ISG15	0.197094395640972	0.330634667153566	0.380183760106137	0.436128833950806	0.326332935292204	0.382183297954044	0.273992600375154	0.189393163667384	0.331258737573269	0.422431943141834	0.175635015665019
AGRN	0.00476798558724288	0.00484872385096311	0.00688186577945929	0.274683126010977	0.106062813206756	0.113547353857782	0.02177285433218	0.0269829465778941	0.0236374505423853	0.0166750864466952	0.00362094591144435
RNF223	0.000930190803703796	0.000479885890722754	0.0007837042009836	0.00128574880460016	0.042629710814358	0.000333243836807666	0.00091023923908069	0.000706332045407553	0.00108312636424141	0.000533463710025612	0.00166611378716414
C1orf159	0.0101677548299049	0.0102659499195991	0.011527110301333	0.0175080318293098	0.0295426795938946	0.0170929032512554	0.0116055502982788	0.0108304246962491	0.00856795031594494	0.0137962539792776	0.00669010288779935
TTLL10	0	0	3.918521004918e-05	0.000642874402300079	0.000107292788900461	0	0	0	0	0.00106692742005122	0
TNFRSF18	0.0389621575970221	0.414656206845322	0.100096289918028	0.0252288741326575	0.0279651529122287	0.0103731644242527	0.0186026432302004	0.159739496514793	0.0466468706171578	0.665321136197906	0.164053297005828
TNFRSF4	0.0286485042960225	0.48520058729349	0.0494383642779533	0.262915047739519	0.0233572717586556	0.0148342644035289	0.0468899089309643	0.167696209845538	0.0654881071031858	0.0813445860275547	0.0715358396660139
SDF4	0.157684149118063	0.319358289779025	0.238393922475104	0.380066922495457	0.288853674339586	0.51875754082919	0.256073083068191	0.240497794872481	0.192151801396534	0.317603645138597	0.172946276972328
B3GALT6	0.00753221421941077	0.0138171055109475	0.013192864764021	0.0433734308885206	0.0159245624797146	0.0246537799813227	0.017541439402805	0.00965320462056989	0.0225272673036003	0.0178123399414189	0.00504963683977798
UBE2J2	0.0767589265438253	0.0962321743640368	0.0951370066371287	0.105106968989508	0.0873162305429887	0.095462082337956	0.0733776021928795	0.0695898167365109	0.0826788239946362	0.106331218104884	0.0400646026656811
SCNN1D	0	0	0	0	0.00344494099367673	0	0	0	0	0	0
ACAP3	0.0143156132146785	0.0165126209600622	0.0207489517566386	0.0454428098392674	0.0616899010811605	0.040726531164848	0.0182241188321155	0.0210345329963138	0.0236453955295631	0.0193087123162089	0.0289212827606976
PUSL1	0.0233718016613188	0.0245991673074064	0.0248116625792006	0.0247615885319269	0.0397773360448415	0.0296587014758823	0.0149717245176397	0.0179337529749362	0.0205873459077644	0.029192899088632	0.0155104182985278
TAS1R3	0	4.79885890722754e-05	7.837042009836e-05	0	0.000214585577800922	8.33109592019165e-05	0	0.000470888030271702	0	0	0.00488170681975246
DVL1	0.00434089041728438	0.00693396016253134	0.00784370055671013	0.0429561909370319	0.0837993965429824	0.0226888941326464	0.0106953110591981	0.00635698840866798	0.011162600560225	0.00817977688705939	0.0158504321139294
AURKAIP1	0.219257535391739	0.265229987664088	0.299960371782299	0.352382638247849	0.519316586340635	0.294660389340909	0.216970352417898	0.241354545731238	0.231058689302852	0.308886579979092	0.179103359359442
CCNL2	0.109857672393075	0.100499761654266	0.0980229384551658	0.221127477024447	0.163705563289302	0.114827515883963	0.0553580013043336	0.0768893478588336	0.0728389770771457	0.109133350705942	0.057650130471247
MRPL20	0.220665020640525	0.233268309418969	0.245074502579505	0.296237411307632	0.307059478899876	0.324237767727971	0.221717364009766	0.249853218981256	0.200118671630271	0.271116516637348	0.127417112926686
ANKRD65	0.000155031800617299	0.000287931534433652	0.00023511126029508	0.0988379278203339	0.00501307405779107	0.0224106480253155	0.00284449762212716	0.000470888030271702	0.00199918840705382	0.000355642473350408	0.000263070597973286
VWA1	0.00186038160740759	0.0017321355258014	0.00261362412193794	0.88201070962556	0.0605810081024364	0.0378580036272886	0.00213392931612665	0.00404255608192101	0.00336791311516005	0.0019124473959374	0.00132280336848977
ATAD3C	0.00310063601234599	0.00283132675526425	0.00231192739290162	0.0168336421169011	0.00250349840767742	0.00424885891929774	0.00170669857327629	0.00400254825730947	0.000713995859662078	0.00497899462690571	0.0387814192372674
ATAD3B	0.0279584116690009	0.0259546104043653	0.0329592400315908	0.0459255940509989	0.0659403012738973	0.023993556250152	0.0194756977858515	0.0286664595759232	0.0275252383212349	0.0352388211355889	0.0172245309607047
ATAD3A	0.0131133590416335	0.0146048400001064	0.0195637906704498	0.0376094093545675	0.0432977765175057	0.0266736635594758	0.0147634987583712	0.0176583011351888	0.0162791056002954	0.0284380279344413	0.0144250377888685
SSU72	0.258520441205204	0.253503299321364	0.270207366392676	0.252665463642757	0.30954306664813	0.277244164461702	0.212831344189919	0.225533978611307	0.217645873665466	0.267771199020597	0.0986624784850532
AL645728.1	0.00697643102777847	0.00854196885486501	0.00970166876060912	0.00861451699082106	0.0131943240093639	0.00499865755211499	0.00796459334195604	0.0129494208324718	0.0187066915231464	0.00817977688705939	0.00581320089455506
MIB2	0.047308479133401	0.0559420248217766	0.0745450157570537	0.0571556921612572	0.155018412553275	0.0450148534462355	0.0295013330381776	0.0391864108669025	0.0292066182477496	0.0861743779386901	0.0294731430800225
